rating,genre,score,votes,budget,gross,runtime,release_country,release_date,score_bin
6,4,0.5916707831323742,-0.052498710489505426,-0.19691716112307164,-0.09676232119227172,-0.7424499848215811,36,1981-06-12,2
6,10,0.28460178401514746,-0.15757315103343494,-0.6416861503205971,-0.2474916719616741,-0.796596974434255,36,1981-04-10,1
4,0,0.38695811705422334,-0.2696525542802931,0.11442113131519616,-0.2901751145343281,0.1780488385938752,36,1981-06-26,1
6,5,0.5916707831323742,-0.3446056552016295,-0.552732352481092,-0.4262617521224424,0.1780488385938752,9,1982-02-10,2
6,1,1.0010961152886748,-0.2346277407656499,-0.13020181274344284,-0.21471027972513537,-0.3092740679201899,36,1982-02-12,2
6,10,-0.7389615463756057,-0.24863766617150718,-0.4637785546415869,-0.22012002294352512,0.12390184898120132,36,1981-03-20,0
6,3,0.38695811705422334,-0.2766575169832217,-0.4637785546415869,-0.23596845957174903,1.2609886308473532,36,1981-09-25,1
6,4,-1.1483868785319065,-0.3579150843371939,-0.5616277322650425,-0.15616315911210835,-1.0131849328849505,36,1981-06-10,0
6,5,0.28460178401514746,-0.2276227780627213,-0.1524402622033191,-0.30926419034527364,0.881959703558636,36,1981-03-20,1
4,6,1.0010961152886748,-0.31868729320079353,-0.6861630492403497,-0.2812464662356848,2.6688103607768747,36,1981-12-25,2
6,10,-0.7389615463756057,-0.34530615147192234,-0.5749708019409683,-0.35438915517059927,-0.3092740679201899,36,1981-08-14,0
6,5,-0.32953621421930407,-0.3502096253639724,-0.308109408422453,-0.37508225745926793,-0.14683309908216818,36,1981-02-13,0
4,1,1.1034524483277508,-0.11554337481586313,-0.6861630492403497,-0.3824321972039821,0.23219582820654913,36,1981-08-28,2
6,0,0.28460178401514746,-0.18559300184514949,0.025467333475691065,-0.25422364072174364,0.1780488385938752,36,1981-05-22,1
6,0,0.8987397822495999,-0.26264759157736445,-0.6861630492403497,-0.3151934410612955,0.015607869755853522,36,1981-09-25,2
6,4,0.07988911793699756,-0.34180367012045804,-0.1524402622033191,-0.28183778677423055,0.881959703558636,36,1981-07-01,1
6,10,0.4893144500932983,-0.2346277407656499,-0.6683722896724487,-0.4441989449951205,-1.0131849328849505,36,1983-11-11,1
6,6,-0.02246721510207831,-0.32639275217401503,-0.6861630492403497,-0.1881777783690899,0.23219582820654913,36,1981-12-18,1
6,10,-0.02246721510207831,-0.24863766617150718,-0.6861630492403497,-0.3830990750609925,-0.8507439640469289,36,1981-02-11,1
6,10,-0.43189254725837906,-0.290667442389079,-0.6861630492403497,-0.3587081242628716,-0.5258620263708855,36,1981-03-13,0
6,6,0.1822454509760725,-0.34180367012045804,0.4702363226732165,-0.43855000851670256,0.06975485936852742,36,1982-02-11,1
6,6,0.6940271161714491,-0.290667442389079,-0.6861630492403497,-0.14943372324567633,0.9902536827839837,36,1981-10-16,2
1,1,0.8987397822495999,-0.2836624796861504,-0.6861630492403497,-0.10190140820662316,-0.4717150367582116,36,1981-06-26,2
6,5,-0.02246721510207831,-0.3291947372551865,-0.24139406004282418,-0.30404807032659914,0.12390184898120132,36,1981-09-25,1
4,6,-0.22717988118022914,-0.3474076402828009,-0.3303478578823293,-0.3151934410612955,-0.6883029952089071,36,1981-10-30,1
6,0,0.07988911793699756,-0.25564262887443584,-0.4637785546415869,-0.22635339709734345,-0.3634210575328638,36,1981-04-10,1
6,4,-0.12482354814115326,-0.33199672233635796,-0.6861630492403497,-0.03809727786154758,-0.9590379432722766,36,1981-06-05,1
6,0,-0.02246721510207831,-0.3425041663907509,-0.6861630492403497,-0.05340366423876561,0.881959703558636,36,1981-12-18,1
6,4,-0.7389615463756057,-0.3284942409848936,-0.308109408422453,-0.11610812229224936,-0.6341560055962333,36,1981-12-18,0
6,4,-0.43189254725837906,-0.37262550601334404,-0.6861630492403497,-0.442952794363214,-1.0131849328849505,1,1981-12-10,0
6,13,0.7963834492105241,-0.31238282676815776,-0.6861630492403497,-0.25192158179526886,0.34048980743189694,36,1981-07-24,2
6,10,-0.02246721510207831,-0.31588530811962207,0.0699442323954436,-0.3285351058942295,0.5029307762699187,36,1981-07-24,1
6,4,-0.8413178794146807,-0.35091012163426527,-0.6861630492403497,-0.3886780375995293,-1.0673319224976245,36,1981-08-07,0
6,5,1.2058087813668257,-0.3284942409848936,-0.30366171853047774,-0.3560937375257311,3.3185742361289616,36,1981-08-26,2
6,6,-0.8413178794146807,-0.34180367012045804,-0.6861630492403497,-0.41860864703448164,-0.09268610946949428,36,1981-04-24,0
4,4,-0.12482354814115326,-0.3481081365530938,-0.6861630492403497,-0.2740061787603123,-0.14683309908216818,36,1981-09-18,1
6,11,0.8987397822495999,-0.29767240509200765,-0.6861630492403497,-0.4443512379782204,0.6112247554952664,36,1982-04-23,2
6,10,-0.5342488802974549,-0.3635190544995368,-0.6861630492403497,-0.38797090875884466,-0.7424499848215811,36,1982-01-29,0
6,5,0.38695811705422334,-0.34110317385016514,-0.6861630492403497,-0.12399540991586845,1.0444006723966577,36,1981-02-06,1
6,10,-0.32953621421930407,-0.36492004704012254,-0.6505815301045476,-0.4332437284971141,-1.1756259017229722,36,1981-03-27,0
4,0,-0.12482354814115326,-0.35301161044514384,-0.6861630492403497,-0.3151934410612955,-0.6883029952089071,36,1981-07-17,1
4,4,-0.9436742124537556,-0.3635190544995368,0.20337492915470123,-0.23823452938340922,-0.4175680471455377,36,1981-07-31,0
4,4,-0.7389615463756057,-0.3635190544995368,-0.41930165572183437,-0.3402098954494874,-0.7424499848215811,36,1981-09-25,0
4,4,-0.8413178794146807,-0.3502096253639724,-0.6861630492403497,-0.22244831383801955,-0.9590379432722766,36,1981-01-30,0
4,6,-0.32953621421930407,-0.37549053575884184,-0.6861630492403497,-0.2812137478574369,0.34048980743189694,36,1981-06-05,0
6,6,-0.02246721510207831,-0.37262550601334404,-0.6861630492403497,-0.4454301625671468,-0.25512707830751596,36,1981-10-25,1
6,10,-1.4554558776491322,-0.35651409179660815,-0.6750438245104114,-0.3151934410612955,-0.5258620263708855,36,1981-05-01,0
4,4,-1.2507432115709824,-0.3474076402828009,-0.3303478578823293,-0.15753740808658614,-0.6883029952089071,36,1981-12-25,0
6,6,0.1822454509760725,-0.3446056552016295,0.2923287269942063,-0.34456321278200036,0.12390184898120132,36,1982-01-01,1
6,2,0.8987397822495999,-0.35091012163426527,-0.6194477008607208,-0.3151934410612955,-0.5258620263708855,36,1981-02-13,2
4,0,-1.2507432115709824,-0.36772203212129395,0.11442113131519616,-0.3066077355485886,-0.4175680471455377,36,1981-05-22,0
4,1,-1.1483868785319065,-0.37262550601334404,-0.06348646436381403,-0.4232868465200375,0.6653717451079403,36,1981-02-11,0
6,10,-0.7389615463756057,-0.36492004704012254,-0.6861630492403497,-0.4326794328324224,-0.9590379432722766,36,1981-09-11,0
6,0,-0.8413178794146807,-0.35651409179660815,-0.51715083334529,-0.3151934410612955,0.015607869755853522,36,1981-08-14,0
6,6,0.4893144500932983,-0.3740264985539297,-0.5660754221570178,-0.4097049091941341,-0.14683309908216818,36,1982-01-01,1
6,6,-0.43189254725837906,-0.3705240172024654,-0.6861630492403497,-0.2859670751707972,0.6112247554952664,36,1981-10-09,0
6,4,0.1822454509760725,-0.3502096253639724,-0.24139406004282418,-0.3656274831017919,-0.5258620263708855,36,1981-12-11,1
